SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,0,0,0,0,0,0,0,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,434,0,434,0,0,0,0,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,67604,54,66952,598,0,11,11,0,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,86928,129,85953,846,0,10,5,5,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,124162,193,123333,636,0,35,17,18,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,75383,202,74511,670,0,12,-19,31,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,48470,274,47520,676,0,23,-4,27,0,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,60770,56,60226,488,0,5,-7,12,0,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2461,0,2461,0,0,0,0,0,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,62150,75,61495,580,0,2,-2,4,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,62281,88,61687,506,0,1,-9,10,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,46091,41,45703,347,0,5,-3,8,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,59620,128,58931,561,0,18,-1,18,1,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,41126,35,40853,238,0,1,-4,5,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,94160,54,93567,539,0,28,1,27,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,55212,144,54606,462,0,7,0,7,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,204,0,204,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,1281,3,1274,4,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,304,0,304,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,1143,3,1136,4,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,30,1,29,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,37,0,37,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,117,0,117,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,286,1,285,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,572,1,571,0,0,0,0,0,0,,
